,open,high,low,close,stoch_k,stoch_d,SMA_5,mom,roc,willr,disp_5,disp_10,rsi,cci,y
3865,1351.7,1403.02,1321.42,1368.64,8.506878438330634,14.255571734354737,41.21209559357646,-190.33999999999992,-13.649928390715393,-82.30267596132222,0.9345301743504021,0.9021107297681887,19.545615830536544,-230.35302205831536,-46.42000000000007
3866,1372.26,1394.61,1364.77,1377.17,15.564212551585825,11.959305417057678,32.01211273377005,-183.1099999999999,-11.662112406830104,-77.3741883116883,0.9642967174546266,0.918654114388668,21.787350031417994,-149.62515396923374,-46.830000000000155
3867,1378.06,1401.67,1336.65,1390.93,22.98230697845246,15.684465989456347,23.09983402965458,-91.86999999999989,-10.853821109031703,-71.37621479163235,0.997590171341686,0.9379764718576015,25.398424845392498,-117.85263371729728,-23.940000000000055
3868,1392.11,1424.52,1385.52,1403.1,32.75592902926388,23.767482853100763,18.886437354978717,51.18999999999983,-5.374966280010796,-52.98180980888797,1.0179562520404826,0.9576559236659953,28.540913880116133,-76.46714401979374,-23.170000000000073
3869,1406.44,1438.6,1403.45,1425.93,54.94318335697523,36.89380645489723,20.51212648977345,57.289999999999964,5.475216545480088,-10.812425328554244,1.023526473024518,0.9830793127483216,34.14511587227494,-51.62103028630965,-14.980000000000018
3870,1425.65,1431.99,1404.52,1413.0,70.3651388842171,52.68808375681878,28.19862889426626,35.82999999999993,3.241173719897117,-25.110348209906775,1.0078272442879086,0.9858547632901987,32.586389568270405,-48.42739179215315,-16.86999999999989
3871,1413.38,1432.79,1413.11,1431.28,85.6324120900897,70.31357811042739,39.86948343294021,40.34999999999991,3.929071937378814,-7.179990191270182,1.013045989377484,1.0075860398844325,36.96734866682833,-35.02745351358853,1.759999999999991
3872,1429.3,1468.57,1426.68,1467.39,88.76294359133972,81.58683152188222,53.049956539425374,64.29000000000019,5.497041547741444,-1.4208308248041384,1.0274832999565864,1.0398061245097283,44.623075430605155,-4.757415943678606,-70.44000000000005
3873,1465.98,1484.95,1448.2,1461.3,87.4602580253168,87.28520456891545,65.75350088258831,35.36999999999989,4.147958092794535,-29.018404907975572,1.0149467279723285,1.0370706816222077,43.65995928443368,14.474571353926967,-228.76999999999998
3874,1462.07,1478.21,1462.07,1475.93,86.11534779730844,87.44618313798837,75.86397621920653,62.930000000000064,3.5064834879692475,-11.214720875295257,1.0180372194401903,1.038314642548857,46.63950940751885,36.15940239268218,-204.0
3875,1471.89,1479.69,1460.77,1476.23,82.54292986140425,85.3728452280099,82.40092851344477,44.950000000000045,4.4748761500353895,-12.138084632516717,1.0094391100814668,1.0307242013481086,46.701754921963314,52.894503532564016,-207.08999999999992
3876,1475.64,1477.55,1440.2,1457.75,76.65598091104518,81.77141952325267,84.69249679600982,-9.6400000000001,1.8493935498295144,-46.67925175905278,0.9932071512277539,1.0121267749971508,43.34734492316958,53.16856590384293,-165.47000000000003
3877,1458.52,1473.17,1448.44,1466.96,66.99384876333168,75.39758651192709,83.4546477940188,5.660000000000082,-0.029303729751473107,-40.20111731843577,0.999540757436799,1.0131729893285846,45.450242471475576,75.19250425417951,-158.8900000000001
3878,1466.15,1487.53,1456.02,1470.16,58.80662111108169,67.4854835951529,79.49470359926629,-5.769999999999982,0.6063094504892952,-36.69976758926668,1.000513132517493,1.0107019626795923,46.19750854450168,78.86677896099182,-58.93999999999983
3879,1469.72,1478.46,1464.22,1469.6,61.73872186293716,62.51306391245023,74.50807975415866,-6.630000000000109,-0.4288821285562405,-37.88294950348635,1.0009944555696317,1.0072928661512282,46.07854772277371,69.1889484469302,61.299999999999955
